All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b0,0.003826114581897,0.0058639282360665,0.0037342295981942497,0.01342427241615775,0.8472133562900127
b1,0.0013550681469495,0.0017419552896180003,0.000956769566982875,0.004053793003550375,0.8411061273654923
b2,0.0007545374877135,0.0008416201065599999,0.00040458243650691667,0.0020007400307804164,0.8351909884950148
b3,0.0004982078389725,0.0004851174307995,0.0001963133108801875,0.0011796385806521876,0.84215976530686
b4,0.0003707449184729999,0.000338626862502,8.804464014244999e-05,0.00079741642111745,0.8546585484873506
b5,0.00028680858667949995,0.000265742108847,0.00011369731510062501,0.000666248010627125,0.8317290856502952
b6,0.000238734097884,0.00022369508432100002,9.794046802982143e-05,0.0005603696502348214,0.8471562900813294
b7,0.0002051955671055,0.000168599915922,6.4612278947625e-05,0.00043840776197512496,0.8494147779420018
b8,0.0001824792577995,0.0001603260558735,5.984966022269445e-05,0.0004026549738956944,0.852808536263183
b9,0.000160453678107,0.00014076399384,4.29280451499e-05,0.0003441457170969,0.8890163577161727
DATA,100
b0,0.004779485170727999,0.006163379410281,0.0031173607567325,0.0140602253377415,1.6928201704286039
b1,0.0017348091350879997,0.0018553435220385,0.000652678543701875,0.0042428312008283755,1.696192546980455
b2,0.000955984539663,0.0008516600743545001,0.0004986622176754166,0.002306306831692917,1.6623761269729584
b3,0.0006719562225045,0.000516611529747,0.00033562508178875,0.00152419283404025,1.6730060981353745
b4,0.000523664336652,0.00037782972212850005,0.00019529049750415003,0.00109678455628465,1.7031679186038673
b5,0.00042135683664600005,0.0003034446466095,0.00018134629741929165,0.0009061477806747917,1.7166047263890505
b6,0.000348335231787,0.0002604364583805,0.00018523028951935718,0.0007940019796868572,1.727129252627492
b7,0.00030026634340049997,0.00020672137907250002,0.000110101624159125,0.000617089346632125,1.742071548476815
b8,0.000271992085296,0.000181315208061,0.00012070958554330556,0.0005740168789003055,1.7542925181332978
b9,0.0002728996507365,0.0001573414541775,3.653162857515e-05,0.00046677273348915,1.7764346780022606
DATA,150
b0,0.0053203868446875,0.0064025435131050005,0.0040519782342015,0.015774908591994,2.4714929767651483
b1,0.001983144204132,0.001911331259181,0.000963613681960875,0.004858089145273875,2.647941432078369
b2,0.0012066504762825,0.000989514558267,0.0007115469391767501,0.0029077119737262506,2.670641146833077
b3,0.000849331874634,0.0005887520674155,0.0001826331281335625,0.0016207170701830627,2.707316664396785
b4,0.0006683460436770001,0.00043399329297300006,0.00039068590849639995,0.0014930252451464,2.722842000075616
b5,0.0005412620957939999,0.00034081413954000005,0.00021432825208949998,0.0010964044874235,2.7421162022510543
b6,0.000489073489527,0.000288267802848,0.00013307237531989287,0.000910413667694893,2.750789095996879
b7,0.0004779725568375,0.00022507656831449998,9.719833906274999e-05,0.00080024746421475,2.7638379010604694
b8,0.00045916179402000006,0.00019147530353249998,8.436073807794444e-05,0.0007349978356304445,2.7798150489106774
b9,0.00043375726090800007,0.0001690575270915,7.854477735235e-05,0.0006813595653518501,2.7931510504567996
DATA,200
b0,0.0058129257522525,0.006761829485183999,0.00351900886744275,0.016093764104879248,3.477144502219744
b1,0.0023432963062065,0.002097898803186,0.00132160237990325,0.005762797489295751,3.503466088557616
b2,0.001401758791569,0.0010480523730315,0.0005389012318725001,0.002988712396473,3.5579687929712236
b3,0.0010153216717305,0.000652155082206,0.0003090330574195625,0.0019765098113560626,3.6058966391719878
b4,0.0008109678979950001,0.00046615093015200005,0.00030722615774720003,0.0015843449858942002,3.6140403745230287
b5,0.0007291382353275,0.00036442209966599994,0.00045568313604837495,0.0015492434710418748,3.6385531548876315
b6,0.0006675621261825,0.0003020455561845,0.0001370491393442857,0.0011066568217112857,3.676878161262721
b7,0.0006844389499755,0.00023418800265149998,0.00011309524415993751,0.0010317221967869375,3.6746700217481703
b8,0.0006297772439820001,0.00020105651735099998,0.00017879018560052777,0.0010096239469335278,3.694689768133685
b9,0.000646153348497,0.00016162764513750002,8.584400638935e-05,0.0008936250000238502,3.700993823236786
DATA,250
b0,0.006283121532760499,0.007110909326000999,0.0049463498871775,0.018340380745938998,4.258425011881627
b1,0.002614712226204,0.002292228280566,0.00108671287307525,0.00599365337984525,4.339596837409772
b2,0.001595137757247,0.0011935766475885,0.0009213354399738334,0.0037100498448093336,4.395805033273064
b3,0.0011806270340445,0.000693046982634,0.0006327035371214375,0.002506377553799937,4.413560675689951
b4,0.000950575363821,0.00048488990869350007,0.00020298205781725003,0.0016384473303317501,4.4066265654983
b5,0.0009206955922604999,0.0003714222305745001,0.0003118679645315833,0.0016039857873665832,4.452108338009566
b6,0.0008658415671180001,0.000308250526101,5.566837665225e-05,0.00122976046987125,4.517530396464281
b7,0.0008995026873899999,0.00023372392752150003,0.0001231754722539375,0.0012564020871654374,4.506203495198861
b8,0.0008792558866035,0.00020374560780449998,0.00019534475480519444,0.0012783462492131944,4.480886809178628
