All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b0,9.311368395130953e-05,0.0001255167773388893,0.00017669697269974722,0.0003953274339899461,12.407068959320895
b1,0.00011055142459799761,0.00012578744901388573,0.00018944599848639743,0.00042578487209828076,11.742611404159106
b2,0.00011872248848833394,0.00012155976686959284,0.00020310835513685416,0.0004433906104947809,11.479846908594482
b3,0.00015149604111524761,0.00014670857723565715,0.0002367093222260123,0.0005349139405769171,11.954335226677358
b4,0.00014756981626205354,0.0001594442982755208,0.00024489543030208484,0.0005519095448396592,11.216104804887436
b5,0.00015321281777384998,0.00014540741464035,0.0002330418698312268,0.0005316621022454268,11.766217546886764
b6,0.00012852053720657086,0.00013548263878975,0.0001447390105264875,0.0004087421865228084,12.09422916942276
b7,0.00018265822141001905,0.00013065265809439997,0.00018850696044013098,0.00050181783994455,12.362399576697499
b8,0.0001543849669230589,0.00014982056621064643,0.000190360486989708,0.0004945660201234133,11.993829212500714
b9,0.0001999344006882738,0.000191539757892381,9.478221412762797e-05,0.00048625637270828276,12.897033539018594
