All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b0,1.5159081187226192e-06,2.433611948545833e-06,8.492875615105159e-07,4.798807628778969e-06,2.259163136361167
b1,2.215907073742857e-06,2.879035540871429e-06,8.847359346138888e-07,5.979678549228175e-06,2.243214284302667
b2,2.822085904575e-06,3.1547230069607144e-06,9.7037146111875e-07,6.947180372654465e-06,2.2529564306605607
b3,3.3641747745904765e-06,3.2720440584761906e-06,1.1330196959158732e-06,7.76923852898254e-06,2.250824017217383
b4,4.111183068110119e-06,3.6843841718005953e-06,1.0655517505099205e-06,8.861118990420636e-06,2.3268289640545845
b5,4.731032753442857e-06,4.398440831292857e-06,1.6113715468059523e-06,1.0740845131541667e-05,2.276823688298464
b6,5.568132878058333e-06,5.088157356829166e-06,1.685759181984722e-06,1.234204941687222e-05,2.294363419758156
b7,6.24593849935238e-06,5.235607247961904e-06,2.0543604882222225e-06,1.3535906235536507e-05,2.3146131886169314
b8,7.154151431416071e-06,5.806695636594643e-06,2.272805431858036e-06,1.5233652499868748e-05,2.318219479173422
b9,8.079570732857144e-06,6.376863605119049e-06,2.1128420023214287e-06,1.656927634029762e-05,2.338090459117666
DATA,100
b0,2.0170017027309525e-06,2.6413244158333332e-06,7.315315232271825e-07,5.389857641791468e-06,4.824343465268612
b1,3.0357695539452386e-06,3.1884526833880953e-06,1.1112160300690476e-06,7.3354382674023806e-06,4.822922215331346
b2,3.985374600492857e-06,3.977112993155357e-06,1.4832580096220236e-06,9.445745603270238e-06,4.863490512128919
b3,5.219562629628571e-06,4.205229647809524e-06,2.0762602429067457e-06,1.1501052520344841e-05,4.873956072842702
b4,6.600366702083334e-06,4.646676917752977e-06,2.132609970719742e-06,1.3379653590556053e-05,4.892535413382575
b5,7.664406162128571e-06,5.261176487507142e-06,2.3931420097750002e-06,1.5318724659410713e-05,4.908100658329204
b6,8.375122625799999e-06,5.736211702841667e-06,2.4294435408791668e-06,1.654077786952083e-05,4.9299652457702905
